PROGRAM,START DATE,START TIME,END DATE,END TIME,LANGUAGE,SYNOPSIS
Ark production music,20/07/2024,09:30,20/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,20/07/2024,10:00,20/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,20/07/2024,12:00,20/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,20/07/2024,14:00,20/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,20/07/2024,14:30,20/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,20/07/2024,16:00,20/07/2024,18:00,"English, Luganda",Peace  tv show
News,20/07/2024,18:00,20/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,20/07/2024,18:30,20/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,20/07/2024,19:30,21/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,21/07/2024,03:00,21/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,21/07/2024,06:00,21/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,21/07/2024,09:00,21/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,21/07/2024,09:30,21/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,21/07/2024,10:00,21/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,21/07/2024,12:00,21/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,21/07/2024,14:00,21/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,21/07/2024,14:30,21/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,21/07/2024,16:00,21/07/2024,18:00,"English, Luganda",Peace  tv show
News,21/07/2024,18:00,21/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,21/07/2024,18:30,21/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,21/07/2024,19:30,22/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,22/07/2024,03:00,22/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,22/07/2024,06:00,22/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,22/07/2024,09:00,22/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,22/07/2024,09:30,22/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,22/07/2024,10:00,22/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,22/07/2024,12:00,22/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,22/07/2024,14:00,22/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,22/07/2024,14:30,22/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,22/07/2024,16:00,22/07/2024,18:00,"English, Luganda",Peace  tv show
News,22/07/2024,18:00,22/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,22/07/2024,18:30,22/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,22/07/2024,19:30,23/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,23/07/2024,03:00,23/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,23/07/2024,06:00,23/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,23/07/2024,09:00,23/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,23/07/2024,09:30,23/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,23/07/2024,10:00,23/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Prophecy Confirmation,23/07/2024,12:00,23/07/2024,14:00,"English, Luganda",Prophecy
Movie,23/07/2024,14:00,23/07/2024,14:30,"English, Luganda",Block busters movie
Praise experience,23/07/2024,14:30,23/07/2024,16:00,"English, Luganda",Praise and worship show
Cartoon,23/07/2024,16:00,23/07/2024,18:00,"English, Luganda",Kids Entertainment
Peace centre,23/07/2024,18:00,23/07/2024,18:30,"English, Luganda",Peace  tv show
News,23/07/2024,18:30,23/07/2024,19:30,"English, Luganda",News bulletin
Food for the soul,23/07/2024,19:30,24/07/2024,03:00,"English, Luganda",Spiritual tv show
Movie,24/07/2024,03:00,24/07/2024,06:00,"English, Luganda",Block busters movie
We give glory,24/07/2024,06:00,24/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,24/07/2024,09:00,24/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,24/07/2024,09:30,24/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,24/07/2024,10:00,24/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,24/07/2024,12:00,24/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,24/07/2024,14:00,24/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,24/07/2024,14:30,24/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,24/07/2024,16:00,24/07/2024,18:00,"English, Luganda",Peace  tv show
News,24/07/2024,18:00,24/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,24/07/2024,18:30,24/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,24/07/2024,19:30,25/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,25/07/2024,03:00,25/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,25/07/2024,06:00,25/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,25/07/2024,09:00,25/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,25/07/2024,09:30,25/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,25/07/2024,10:00,25/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,25/07/2024,12:00,25/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,25/07/2024,14:00,25/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,25/07/2024,14:30,25/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,25/07/2024,16:00,25/07/2024,18:00,"English, Luganda",Peace  tv show
News,25/07/2024,18:00,25/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,25/07/2024,18:30,25/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,25/07/2024,19:30,26/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,26/07/2024,03:00,26/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,26/07/2024,06:00,26/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,26/07/2024,09:00,26/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,26/07/2024,09:30,26/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,26/07/2024,10:00,26/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,26/07/2024,12:00,26/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,26/07/2024,14:00,26/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,26/07/2024,14:30,26/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,26/07/2024,16:00,26/07/2024,18:00,"English, Luganda",Peace  tv show
News,26/07/2024,18:00,26/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,26/07/2024,18:30,26/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,26/07/2024,19:30,27/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,27/07/2024,03:00,27/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,27/07/2024,06:00,27/07/2024,09:00,"English, Luganda",A thanksgiving program
